Estado,RangoMin,Poblacion
Aguascalientes,0,121557
Aguascalientes,5,128874
Aguascalientes,10,123806
Aguascalientes,15,121428
Aguascalientes,20,106305
Aguascalientes,25,93604
Aguascalientes,30,88726
Aguascalientes,35,86254
Aguascalientes,40,73084
Aguascalientes,45,60198
Aguascalientes,50,49980
Aguascalientes,55,37543
Aguascalientes,60,29258
Aguascalientes,65,21004
Aguascalientes,70,15254
Aguascalientes,75,10673
Aguascalientes,80,7228
Aguascalientes,85,4061
Aguascalientes,90,1467
Aguascalientes,95,551
Aguascalientes,100,109
Baja California,0,293234
Baja California,5,303180
Baja California,10,305472
Baja California,15,299195
Baja California,20,286479
Baja California,25,265428
Baja California,30,264023
Baja California,35,264063
Baja California,40,215049
Baja California,45,171104
Baja California,50,136690
Baja California,55,97874
Baja California,60,75229
Baja California,65,52560
Baja California,70,37742
Baja California,75,24055
Baja California,80,14744
Baja California,85,7764
Baja California,90,2641
Baja California,95,913
Baja California,100,206
Baja California Sur,0,60758
Baja California Sur,5,60334
Baja California Sur,10,57380
Baja California Sur,15,57713
Baja California Sur,20,58690
Baja California Sur,25,57525
Baja California Sur,30,56159
Baja California Sur,35,52235
Baja California Sur,40,42163
Baja California Sur,45,34308
Baja California Sur,50,28122
Baja California Sur,55,20188
Baja California Sur,60,14895
Baja California Sur,65,10279
Baja California Sur,70,7012
Baja California Sur,75,4598
Baja California Sur,80,2805
Baja California Sur,85,1589
Baja California Sur,90,655
Baja California Sur,95,223
Baja California Sur,100,58
Campeche,0,76925
Campeche,5,78299
Campeche,10,81314
Campeche,15,82920
Campeche,20,76388
Campeche,25,68197
Campeche,30,64927
Campeche,35,61896
Campeche,40,50522
Campeche,45,42811
Campeche,50,35658
Campeche,55,28316
Campeche,60,21379
Campeche,65,15079
Campeche,70,12890
Campeche,75,8320
Campeche,80,5254
Campeche,85,3209
Campeche,90,1127
Campeche,95,479
Campeche,100,142
Chiapas,0,540459
Chiapas,5,554692
Chiapas,10,549896
Chiapas,15,530233
Chiapas,20,438019
Chiapas,25,366537
Chiapas,30,335370
Chiapas,35,307983
Chiapas,40,246620
Chiapas,45,212924
Chiapas,50,174407
Chiapas,55,137559
Chiapas,60,110499
Chiapas,65,78922
Chiapas,70,68500
Chiapas,75,39750
Chiapas,80,24678
Chiapas,85,13513
Chiapas,90,5569
Chiapas,95,2583
Chiapas,100,1467
Chihuahua,0,322676
Chihuahua,5,335064
Chihuahua,10,324661
Chihuahua,15,322034
Chihuahua,20,285872
Chihuahua,25,255036
Chihuahua,30,251304
Chihuahua,35,259968
Chihuahua,40,222756
Chihuahua,45,183153
Chihuahua,50,149069
Chihuahua,55,108607
Chihuahua,60,89542
Chihuahua,65,68809
Chihuahua,70,54419
Chihuahua,75,34386
